T: 6332 | X: 163 | Y: -3 | Z 29
T: 6344 | X: 158 | Y: -3 | Z 30
T: 6344 | X: 158 | Y: -3 | Z 31
T: 6345 | X: 158 | Y: -3 | Z 31
T: 6345 | X: 158 | Y: -3 | Z 32
T: 6345 | X: 158 | Y: -3 | Z 32
T: 6345 | X: 158 | Y: -3 | Z 33
T: 6345 | X: 158 | Y: -3 | Z 33
T: 6346 | X: 158 | Y: -3 | Z 33
T: 6346 | X: 158 | Y: -3 | Z 34
T: 6346 | X: 158 | Y: -3 | Z 34
T: 6346 | X: 158 | Y: -3 | Z 35
T: 6347 | X: 158 | Y: -3 | Z 35
T: 6347 | X: 158 | Y: -3 | Z 36
T: 6347 | X: 158 | Y: -3 | Z 36
T: 6347 | X: 158 | Y: -3 | Z 36
T: 6347 | X: 158 | Y: -3 | Z 37
T: 6348 | X: 158 | Y: -3 | Z 37
T: 6348 | X: 158 | Y: -3 | Z 38
T: 6348 | X: 157 | Y: -3 | Z 38
T: 6348 | X: 157 | Y: -3 | Z 38
T: 6349 | X: 157 | Y: -3 | Z 39
T: 6349 | X: 156 | Y: -3 | Z 39
T: 6349 | X: 156 | Y: -3 | Z 39
T: 6349 | X: 156 | Y: -3 | Z 38
T: 6349 | X: 155 | Y: -3 | Z 38
T: 6350 | X: 155 | Y: -3 | Z 38
T: 6350 | X: 155 | Y: -3 | Z 37
T: 6350 | X: 155 | Y: -3 | Z 37
T: 6350 | X: 154 | Y: -3 | Z 36
T: 6351 | X: 154 | Y: -3 | Z 36
T: 6351 | X: 154 | Y: -3 | Z 36
T: 6351 | X: 154 | Y: -3 | Z 35
T: 6351 | X: 154 | Y: -3 | Z 35
T: 6351 | X: 154 | Y: -3 | Z 34
T: 6352 | X: 154 | Y: -3 | Z 34
T: 6352 | X: 154 | Y: -3 | Z 34
T: 6352 | X: 154 | Y: -3 | Z 33
T: 6352 | X: 153 | Y: -3 | Z 33
T: 6352 | X: 153 | Y: -3 | Z 32
T: 6353 | X: 153 | Y: -3 | Z 32
T: 6353 | X: 153 | Y: -3 | Z 32
T: 6353 | X: 153 | Y: -3 | Z 31
T: 6353 | X: 153 | Y: -3 | Z 31
T: 6354 | X: 153 | Y: -3 | Z 30
T: 6354 | X: 153 | Y: -3 | Z 30
T: 6354 | X: 153 | Y: -3 | Z 29
T: 6354 | X: 153 | Y: -3 | Z 29
T: 6354 | X: 153 | Y: -3 | Z 29
T: 6355 | X: 153 | Y: -3 | Z 28
T: 6355 | X: 152 | Y: -3 | Z 28
T: 6355 | X: 152 | Y: -3 | Z 27
T: 6355 | X: 152 | Y: -3 | Z 27
T: 6355 | X: 152 | Y: -3 | Z 26
T: 6356 | X: 152 | Y: -3 | Z 26
T: 6356 | X: 152 | Y: -3 | Z 26
T: 6356 | X: 151 | Y: -3 | Z 25
T: 6356 | X: 151 | Y: -3 | Z 25
T: 6357 | X: 151 | Y: -3 | Z 25
T: 6357 | X: 150 | Y: -3 | Z 25
T: 6357 | X: 150 | Y: -3 | Z 25
T: 6357 | X: 149 | Y: -3 | Z 25
T: 6357 | X: 149 | Y: -3 | Z 26
T: 6358 | X: 149 | Y: -3 | Z 26
T: 6358 | X: 149 | Y: -3 | Z 27
T: 6358 | X: 149 | Y: -3 | Z 27
T: 6358 | X: 149 | Y: -3 | Z 27
T: 6359 | X: 149 | Y: -3 | Z 28
T: 6359 | X: 149 | Y: -3 | Z 28
T: 6359 | X: 149 | Y: -3 | Z 29
T: 6359 | X: 149 | Y: -3 | Z 29
T: 6359 | X: 149 | Y: -3 | Z 30
T: 6360 | X: 149 | Y: -3 | Z 30
T: 6360 | X: 149 | Y: -3 | Z 30
T: 6360 | X: 149 | Y: -3 | Z 31
T: 6360 | X: 149 | Y: -3 | Z 31
T: 6360 | X: 149 | Y: -3 | Z 32
T: 6361 | X: 149 | Y: -3 | Z 32
T: 6361 | X: 149 | Y: -3 | Z 33
T: 6361 | X: 149 | Y: -3 | Z 33
T: 6361 | X: 149 | Y: -3 | Z 33
T: 6362 | X: 149 | Y: -3 | Z 34
T: 6362 | X: 149 | Y: -3 | Z 34
T: 6362 | X: 149 | Y: -3 | Z 35
T: 6362 | X: 149 | Y: -3 | Z 35
T: 6362 | X: 149 | Y: -3 | Z 36
T: 6363 | X: 149 | Y: -3 | Z 36
T: 6363 | X: 149 | Y: -3 | Z 37
T: 6363 | X: 149 | Y: -3 | Z 37
T: 6363 | X: 149 | Y: -3 | Z 37
T: 6364 | X: 149 | Y: -3 | Z 38
T: 6364 | X: 149 | Y: -3 | Z 38
T: 6364 | X: 149 | Y: -3 | Z 39
T: 6364 | X: 149 | Y: -3 | Z 39
T: 6364 | X: 149 | Y: -3 | Z 39
T: 6365 | X: 149 | Y: -3 | Z 39
T: 6365 | X: 150 | Y: -3 | Z 38
T: 6365 | X: 150 | Y: -3 | Z 38
T: 6365 | X: 150 | Y: -3 | Z 38
T: 6366 | X: 150 | Y: -3 | Z 37
T: 6366 | X: 150 | Y: -3 | Z 37
T: 6366 | X: 150 | Y: -3 | Z 36
T: 6366 | X: 150 | Y: -3 | Z 36
T: 6366 | X: 150 | Y: -3 | Z 35
T: 6367 | X: 150 | Y: -3 | Z 34
T: 6367 | X: 150 | Y: -3 | Z 34
T: 6367 | X: 150 | Y: -3 | Z 33
T: 6367 | X: 150 | Y: -3 | Z 33
T: 6367 | X: 149 | Y: -3 | Z 33
T: 6368 | X: 149 | Y: -3 | Z 33
T: 6368 | X: 148 | Y: -3 | Z 32
T: 6368 | X: 148 | Y: -3 | Z 32
T: 6368 | X: 147 | Y: -3 | Z 32
T: 6369 | X: 147 | Y: -3 | Z 32
T: 6369 | X: 146 | Y: -3 | Z 32
T: 6369 | X: 145 | Y: -3 | Z 32
T: 6369 | X: 145 | Y: -3 | Z 32
T: 6369 | X: 145 | Y: -3 | Z 32
T: 6370 | X: 145 | Y: -3 | Z 32
T: 6370 | X: 144 | Y: -3 | Z 32
T: 6370 | X: 144 | Y: -3 | Z 32
T: 6370 | X: 144 | Y: -3 | Z 33
T: 6370 | X: 143 | Y: -3 | Z 33
T: 6371 | X: 143 | Y: -3 | Z 33
T: 6371 | X: 143 | Y: -3 | Z 34
T: 6371 | X: 143 | Y: -3 | Z 34
T: 6371 | X: 143 | Y: -3 | Z 35
T: 6372 | X: 143 | Y: -3 | Z 35
T: 6372 | X: 143 | Y: -3 | Z 35
T: 6372 | X: 143 | Y: -3 | Z 36
T: 6372 | X: 143 | Y: -3 | Z 36
T: 6372 | X: 143 | Y: -3 | Z 37
T: 6373 | X: 143 | Y: -3 | Z 37
T: 6373 | X: 143 | Y: -3 | Z 38
T: 6373 | X: 143 | Y: -3 | Z 38
T: 6373 | X: 143 | Y: -3 | Z 38
T: 6374 | X: 143 | Y: -3 | Z 39
T: 6374 | X: 143 | Y: -3 | Z 39
T: 6374 | X: 143 | Y: -3 | Z 39
T: 6374 | X: 144 | Y: -3 | Z 38
T: 6374 | X: 144 | Y: -3 | Z 38
T: 6375 | X: 143 | Y: -3 | Z 37
T: 6375 | X: 143 | Y: -3 | Z 36
T: 6375 | X: 143 | Y: -3 | Z 35
T: 6375 | X: 144 | Y: -3 | Z 35
T: 6375 | X: 144 | Y: -3 | Z 34
T: 6376 | X: 144 | Y: -3 | Z 33
T: 6376 | X: 144 | Y: -3 | Z 32
T: 6376 | X: 144 | Y: -3 | Z 31
T: 6376 | X: 144 | Y: -3 | Z 30
T: 6377 | X: 144 | Y: -3 | Z 30
T: 6377 | X: 144 | Y: -3 | Z 29
T: 6377 | X: 144 | Y: -3 | Z 28
T: 6377 | X: 144 | Y: -3 | Z 27
T: 6377 | X: 144 | Y: -3 | Z 27
T: 6378 | X: 144 | Y: -3 | Z 27
T: 6378 | X: 144 | Y: -3 | Z 26
T: 6378 | X: 143 | Y: -3 | Z 26
T: 6378 | X: 143 | Y: -3 | Z 26
T: 6379 | X: 143 | Y: -3 | Z 26
T: 6379 | X: 143 | Y: -3 | Z 26
T: 6379 | X: 142 | Y: -3 | Z 26
T: 6379 | X: 142 | Y: -3 | Z 26
T: 6379 | X: 141 | Y: -3 | Z 26
T: 6380 | X: 141 | Y: -3 | Z 26
T: 6380 | X: 140 | Y: -3 | Z 26
T: 6380 | X: 139 | Y: -3 | Z 26
T: 6380 | X: 139 | Y: -3 | Z 26
T: 6380 | X: 139 | Y: -3 | Z 26
T: 6381 | X: 138 | Y: -3 | Z 26
T: 6381 | X: 138 | Y: -3 | Z 26
T: 6381 | X: 137 | Y: -3 | Z 26
T: 6381 | X: 137 | Y: -3 | Z 26
T: 6382 | X: 137 | Y: -3 | Z 26
T: 6382 | X: 136 | Y: -3 | Z 26
T: 6382 | X: 135 | Y: -3 | Z 26
T: 6382 | X: 135 | Y: -3 | Z 26
T: 6382 | X: 135 | Y: -3 | Z 26
T: 6383 | X: 134 | Y: -3 | Z 26
T: 6383 | X: 134 | Y: -3 | Z 26
T: 6383 | X: 133 | Y: -3 | Z 26
T: 6383 | X: 133 | Y: -3 | Z 26
T: 6384 | X: 132 | Y: -3 | Z 26
T: 6384 | X: 132 | Y: -3 | Z 26
T: 6384 | X: 132 | Y: -3 | Z 26
T: 6384 | X: 131 | Y: -3 | Z 26
T: 6384 | X: 131 | Y: -3 | Z 27
T: 6385 | X: 131 | Y: -3 | Z 27
T: 6385 | X: 130 | Y: -3 | Z 27
T: 6385 | X: 130 | Y: -3 | Z 27
T: 6385 | X: 130 | Y: -3 | Z 28
T: 6385 | X: 129 | Y: -3 | Z 28
T: 6386 | X: 129 | Y: -3 | Z 28
T: 6386 | X: 128 | Y: -3 | Z 29
T: 6386 | X: 128 | Y: -3 | Z 29
T: 6386 | X: 128 | Y: -3 | Z 29
T: 6387 | X: 128 | Y: -3 | Z 29
T: 6387 | X: 127 | Y: -3 | Z 30
T: 6387 | X: 127 | Y: -3 | Z 30
T: 6387 | X: 127 | Y: -3 | Z 30
T: 6387 | X: 126 | Y: -3 | Z 31
T: 6388 | X: 126 | Y: -3 | Z 31
T: 6388 | X: 126 | Y: -3 | Z 31
T: 6388 | X: 126 | Y: -3 | Z 31
T: 6388 | X: 126 | Y: -3 | Z 31
T: 6389 | X: 126 | Y: -3 | Z 31
T: 6389 | X: 126 | Y: -3 | Z 31
T: 6389 | X: 126 | Y: -3 | Z 31
T: 6389 | X: 125 | Y: -3 | Z 31
T: 6389 | X: 125 | Y: -3 | Z 31
T: 6390 | X: 125 | Y: -3 | Z 31
T: 6390 | X: 125 | Y: -3 | Z 32
T: 6390 | X: 126 | Y: -3 | Z 32
T: 6390 | X: 126 | Y: -3 | Z 32
T: 6390 | X: 126 | Y: -3 | Z 32
T: 6391 | X: 126 | Y: -3 | Z 32
T: 6391 | X: 127 | Y: -3 | Z 32
T: 6391 | X: 128 | Y: -3 | Z 32
T: 6391 | X: 128 | Y: -3 | Z 32
T: 6392 | X: 128 | Y: -3 | Z 33
T: 6392 | X: 129 | Y: -3 | Z 33
T: 6392 | X: 129 | Y: -3 | Z 33
T: 6392 | X: 129 | Y: -3 | Z 34
T: 6392 | X: 130 | Y: -3 | Z 34
T: 6393 | X: 130 | Y: -3 | Z 34
T: 6393 | X: 130 | Y: -3 | Z 35
T: 6393 | X: 130 | Y: -3 | Z 35
T: 6393 | X: 130 | Y: -3 | Z 36
T: 6394 | X: 130 | Y: -3 | Z 36
T: 6394 | X: 130 | Y: -3 | Z 36
T: 6394 | X: 130 | Y: -3 | Z 37
T: 6394 | X: 129 | Y: -3 | Z 37
T: 6394 | X: 129 | Y: -3 | Z 37
T: 6395 | X: 129 | Y: -3 | Z 38
T: 6395 | X: 128 | Y: -3 | Z 38
T: 6395 | X: 128 | Y: -3 | Z 38
T: 6395 | X: 128 | Y: -3 | Z 38
T: 6396 | X: 127 | Y: -3 | Z 39
T: 6396 | X: 127 | Y: -3 | Z 39
T: 6396 | X: 126 | Y: -3 | Z 39
T: 6396 | X: 126 | Y: -3 | Z 39
T: 6396 | X: 126 | Y: -3 | Z 39
T: 6397 | X: 125 | Y: -3 | Z 39
T: 6397 | X: 125 | Y: -3 | Z 39
T: 6397 | X: 125 | Y: -3 | Z 38
T: 6397 | X: 125 | Y: -3 | Z 38
T: 6397 | X: 125 | Y: -3 | Z 37
T: 6398 | X: 125 | Y: -3 | Z 37
T: 6398 | X: 125 | Y: -3 | Z 37
T: 6398 | X: 125 | Y: -3 | Z 36
T: 6398 | X: 125 | Y: -3 | Z 36
T: 6399 | X: 125 | Y: -3 | Z 35
T: 6399 | X: 125 | Y: -3 | Z 35
T: 6399 | X: 125 | Y: -3 | Z 34
T: 6399 | X: 125 | Y: -3 | Z 34
T: 6399 | X: 125 | Y: -3 | Z 34
T: 6400 | X: 125 | Y: -3 | Z 33
T: 6400 | X: 125 | Y: -3 | Z 33
T: 6400 | X: 125 | Y: -3 | Z 32
T: 6400 | X: 125 | Y: -3 | Z 32
T: 6400 | X: 125 | Y: -3 | Z 31
T: 6401 | X: 125 | Y: -3 | Z 31
T: 6401 | X: 125 | Y: -3 | Z 31
T: 6401 | X: 125 | Y: -3 | Z 30
T: 6401 | X: 125 | Y: -3 | Z 30
T: 6402 | X: 125 | Y: -3 | Z 29
T: 6402 | X: 125 | Y: -3 | Z 29
T: 6402 | X: 125 | Y: -3 | Z 28
T: 6402 | X: 125 | Y: -3 | Z 28
T: 6402 | X: 125 | Y: -3 | Z 28
T: 6403 | X: 125 | Y: -3 | Z 27
T: 6403 | X: 125 | Y: -3 | Z 27
T: 6403 | X: 125 | Y: -3 | Z 26
T: 6403 | X: 125 | Y: -3 | Z 26
T: 6403 | X: 125 | Y: -3 | Z 26
T: 6404 | X: 125 | Y: -3 | Z 25
T: 6404 | X: 124 | Y: -3 | Z 26
T: 6404 | X: 124 | Y: -3 | Z 26
T: 6404 | X: 124 | Y: -3 | Z 26
T: 6405 | X: 124 | Y: -3 | Z 27
T: 6405 | X: 124 | Y: -3 | Z 27
T: 6405 | X: 124 | Y: -3 | Z 28
T: 6405 | X: 124 | Y: -3 | Z 28
T: 6405 | X: 124 | Y: -3 | Z 29
T: 6406 | X: 123 | Y: -3 | Z 29
T: 6406 | X: 123 | Y: -3 | Z 29
T: 6406 | X: 123 | Y: -3 | Z 30
T: 6406 | X: 123 | Y: -3 | Z 30
T: 6406 | X: 123 | Y: -3 | Z 30
T: 6407 | X: 122 | Y: -3 | Z 31
T: 6407 | X: 122 | Y: -3 | Z 31
T: 6407 | X: 122 | Y: -3 | Z 31
T: 6407 | X: 121 | Y: -3 | Z 31
T: 6408 | X: 121 | Y: -3 | Z 31
T: 6408 | X: 120 | Y: -3 | Z 32
T: 6408 | X: 120 | Y: -3 | Z 32
T: 6408 | X: 120 | Y: -3 | Z 32
T: 6408 | X: 119 | Y: -3 | Z 32
T: 6409 | X: 119 | Y: -3 | Z 32
T: 6409 | X: 118 | Y: -3 | Z 32
T: 6409 | X: 118 | Y: -3 | Z 32
T: 6409 | X: 117 | Y: -3 | Z 32
T: 6410 | X: 116 | Y: -3 | Z 32
T: 6410 | X: 116 | Y: -3 | Z 32
T: 6410 | X: 116 | Y: -3 | Z 32
T: 6410 | X: 115 | Y: -3 | Z 32
T: 6410 | X: 115 | Y: -3 | Z 32
T: 6411 | X: 114 | Y: -3 | Z 32
T: 6411 | X: 114 | Y: -3 | Z 32
T: 6411 | X: 114 | Y: -3 | Z 32
T: 6411 | X: 114 | Y: -3 | Z 32
T: 6411 | X: 114 | Y: -3 | Z 31
T: 6412 | X: 114 | Y: -3 | Z 31
T: 6412 | X: 114 | Y: -3 | Z 32
T: 6412 | X: 115 | Y: -3 | Z 32
T: 6412 | X: 115 | Y: -3 | Z 32
T: 6413 | X: 116 | Y: -3 | Z 32
T: 6413 | X: 117 | Y: -3 | Z 32
T: 6413 | X: 117 | Y: -3 | Z 32
T: 6413 | X: 118 | Y: -3 | Z 32
T: 6413 | X: 118 | Y: -3 | Z 32
T: 6414 | X: 119 | Y: -3 | Z 32
T: 6414 | X: 119 | Y: -3 | Z 32
T: 6414 | X: 120 | Y: -3 | Z 32
T: 6414 | X: 120 | Y: -3 | Z 31
T: 6415 | X: 120 | Y: -3 | Z 31
T: 6415 | X: 120 | Y: -3 | Z 30
T: 6415 | X: 120 | Y: -3 | Z 30
T: 6415 | X: 120 | Y: -3 | Z 29
T: 6415 | X: 120 | Y: -3 | Z 29
T: 6416 | X: 120 | Y: -3 | Z 29
T: 6416 | X: 120 | Y: -3 | Z 28
T: 6416 | X: 120 | Y: -3 | Z 28
T: 6416 | X: 120 | Y: -3 | Z 27
T: 6416 | X: 121 | Y: -3 | Z 27
T: 6417 | X: 121 | Y: -3 | Z 27
T: 6417 | X: 120 | Y: -3 | Z 26
T: 6417 | X: 120 | Y: -3 | Z 26
T: 6417 | X: 120 | Y: -3 | Z 25
T: 6418 | X: 120 | Y: -3 | Z 25
T: 6418 | X: 121 | Y: -3 | Z 25
T: 6418 | X: 121 | Y: -3 | Z 25
T: 6418 | X: 121 | Y: -3 | Z 26
T: 6418 | X: 121 | Y: -3 | Z 26
T: 6419 | X: 121 | Y: -3 | Z 26
T: 6419 | X: 120 | Y: -3 | Z 27
T: 6419 | X: 120 | Y: -3 | Z 27
T: 6419 | X: 120 | Y: -3 | Z 28
T: 6420 | X: 120 | Y: -3 | Z 28
T: 6420 | X: 120 | Y: -3 | Z 29
T: 6420 | X: 120 | Y: -3 | Z 29
T: 6420 | X: 120 | Y: -3 | Z 29
T: 6420 | X: 120 | Y: -3 | Z 30
T: 6421 | X: 120 | Y: -3 | Z 30
T: 6421 | X: 120 | Y: -3 | Z 31
T: 6421 | X: 120 | Y: -3 | Z 31
T: 6421 | X: 120 | Y: -3 | Z 31
T: 6421 | X: 120 | Y: -3 | Z 32
T: 6422 | X: 119 | Y: -3 | Z 32
T: 6422 | X: 119 | Y: -3 | Z 33
T: 6422 | X: 119 | Y: -3 | Z 33
T: 6422 | X: 119 | Y: -3 | Z 34
T: 6423 | X: 119 | Y: -3 | Z 34
T: 6423 | X: 119 | Y: -3 | Z 34
T: 6423 | X: 119 | Y: -3 | Z 35
T: 6423 | X: 119 | Y: -3 | Z 35
T: 6423 | X: 119 | Y: -3 | Z 36
T: 6424 | X: 118 | Y: -3 | Z 36
T: 6424 | X: 118 | Y: -3 | Z 37
T: 6424 | X: 118 | Y: -3 | Z 37
T: 6424 | X: 118 | Y: -3 | Z 37
T: 6425 | X: 118 | Y: -3 | Z 38
T: 6425 | X: 118 | Y: -3 | Z 38
T: 6425 | X: 118 | Y: -3 | Z 39
T: 6425 | X: 118 | Y: -3 | Z 39
T: 6425 | X: 117 | Y: -3 | Z 39
T: 6426 | X: 117 | Y: -3 | Z 39
T: 6426 | X: 116 | Y: -3 | Z 39
T: 6426 | X: 116 | Y: -3 | Z 39
T: 6426 | X: 116 | Y: -3 | Z 39
T: 6427 | X: 116 | Y: -3 | Z 38
T: 6427 | X: 115 | Y: -3 | Z 38
T: 6427 | X: 115 | Y: -3 | Z 38
T: 6427 | X: 115 | Y: -3 | Z 37
T: 6427 | X: 115 | Y: -3 | Z 37
T: 6428 | X: 115 | Y: -3 | Z 36
T: 6428 | X: 115 | Y: -3 | Z 36
T: 6428 | X: 115 | Y: -3 | Z 36
T: 6428 | X: 115 | Y: -3 | Z 35
T: 6428 | X: 115 | Y: -3 | Z 35
T: 6429 | X: 115 | Y: -3 | Z 34
T: 6429 | X: 114 | Y: -3 | Z 34
T: 6429 | X: 114 | Y: -3 | Z 34
T: 6429 | X: 114 | Y: -3 | Z 33
T: 6430 | X: 114 | Y: -3 | Z 32
T: 6430 | X: 114 | Y: -3 | Z 31
T: 6430 | X: 114 | Y: -3 | Z 31
T: 6430 | X: 114 | Y: -3 | Z 31
T: 6430 | X: 114 | Y: -3 | Z 30
T: 6431 | X: 114 | Y: -3 | Z 30
T: 6431 | X: 114 | Y: -3 | Z 29
T: 6431 | X: 114 | Y: -3 | Z 29
T: 6431 | X: 114 | Y: -3 | Z 28
T: 6431 | X: 114 | Y: -3 | Z 28
T: 6432 | X: 114 | Y: -3 | Z 28
T: 6432 | X: 114 | Y: -3 | Z 27
T: 6432 | X: 113 | Y: -3 | Z 27
T: 6432 | X: 113 | Y: -3 | Z 26
T: 6433 | X: 113 | Y: -3 | Z 26
T: 6433 | X: 113 | Y: -3 | Z 26
T: 6433 | X: 113 | Y: -3 | Z 25
T: 6433 | X: 112 | Y: -3 | Z 25
T: 6433 | X: 112 | Y: -3 | Z 25
T: 6434 | X: 111 | Y: -3 | Z 25
T: 6434 | X: 111 | Y: -3 | Z 25
T: 6434 | X: 111 | Y: -3 | Z 25
T: 6434 | X: 110 | Y: -3 | Z 25
T: 6434 | X: 110 | Y: -3 | Z 25
T: 6435 | X: 109 | Y: -3 | Z 25
T: 6435 | X: 109 | Y: -3 | Z 25
T: 6435 | X: 108 | Y: -3 | Z 25
T: 6435 | X: 108 | Y: -3 | Z 25
T: 6436 | X: 108 | Y: -3 | Z 25
T: 6436 | X: 107 | Y: -3 | Z 25
T: 6436 | X: 107 | Y: -3 | Z 25
T: 6436 | X: 106 | Y: -3 | Z 25
T: 6436 | X: 105 | Y: -3 | Z 25
T: 6437 | X: 105 | Y: -3 | Z 25
T: 6437 | X: 104 | Y: -3 | Z 25
T: 6437 | X: 104 | Y: -3 | Z 24
T: 6437 | X: 104 | Y: -3 | Z 24
T: 6438 | X: 103 | Y: -3 | Z 24
T: 6438 | X: 103 | Y: -3 | Z 25
T: 6438 | X: 103 | Y: -3 | Z 25
T: 6438 | X: 104 | Y: -3 | Z 25
T: 6438 | X: 104 | Y: -3 | Z 25
T: 6439 | X: 104 | Y: -3 | Z 25
T: 6439 | X: 105 | Y: -3 | Z 25
T: 6439 | X: 105 | Y: -3 | Z 26
T: 6439 | X: 106 | Y: -3 | Z 26
T: 6439 | X: 106 | Y: -3 | Z 26
T: 6440 | X: 107 | Y: -3 | Z 27
T: 6440 | X: 107 | Y: -3 | Z 27
T: 6440 | X: 107 | Y: -3 | Z 27
T: 6440 | X: 107 | Y: -3 | Z 27
T: 6441 | X: 108 | Y: -3 | Z 28
T: 6441 | X: 108 | Y: -3 | Z 28
T: 6441 | X: 108 | Y: -3 | Z 28
T: 6441 | X: 109 | Y: -3 | Z 29
T: 6441 | X: 109 | Y: -3 | Z 29
T: 6442 | X: 109 | Y: -3 | Z 30
T: 6442 | X: 109 | Y: -3 | Z 30
T: 6442 | X: 109 | Y: -3 | Z 30
T: 6442 | X: 109 | Y: -3 | Z 31
T: 6442 | X: 109 | Y: -3 | Z 31
T: 6443 | X: 110 | Y: -3 | Z 32
T: 6443 | X: 110 | Y: -3 | Z 32
T: 6443 | X: 110 | Y: -3 | Z 32
T: 6443 | X: 109 | Y: -3 | Z 33
T: 6444 | X: 109 | Y: -3 | Z 33
T: 6444 | X: 109 | Y: -3 | Z 34
T: 6444 | X: 109 | Y: -3 | Z 34
T: 6444 | X: 109 | Y: -3 | Z 35
T: 6444 | X: 109 | Y: -3 | Z 35
T: 6445 | X: 109 | Y: -3 | Z 35
T: 6445 | X: 109 | Y: -3 | Z 36
T: 6445 | X: 109 | Y: -3 | Z 36
T: 6445 | X: 109 | Y: -3 | Z 37
T: 6446 | X: 108 | Y: -3 | Z 37
T: 6446 | X: 108 | Y: -3 | Z 37
T: 6446 | X: 108 | Y: -3 | Z 37
T: 6446 | X: 107 | Y: -3 | Z 38
T: 6446 | X: 107 | Y: -3 | Z 38
T: 6447 | X: 107 | Y: -3 | Z 38
T: 6447 | X: 106 | Y: -3 | Z 39
T: 6447 | X: 106 | Y: -3 | Z 39
T: 6447 | X: 106 | Y: -3 | Z 39
T: 6448 | X: 105 | Y: -3 | Z 39
T: 6448 | X: 105 | Y: -3 | Z 40
T: 6448 | X: 105 | Y: -3 | Z 40
T: 6448 | X: 104 | Y: -3 | Z 40
T: 6448 | X: 104 | Y: -3 | Z 40
T: 6449 | X: 103 | Y: -3 | Z 40
T: 6449 | X: 103 | Y: -3 | Z 40
T: 6449 | X: 103 | Y: -3 | Z 40
T: 6449 | X: 102 | Y: -3 | Z 40
T: 6449 | X: 102 | Y: -3 | Z 39
T: 6450 | X: 102 | Y: -3 | Z 39
T: 6450 | X: 102 | Y: -3 | Z 38
T: 6450 | X: 102 | Y: -3 | Z 38
T: 6450 | X: 102 | Y: -3 | Z 38
T: 6451 | X: 102 | Y: -3 | Z 37
T: 6451 | X: 102 | Y: -3 | Z 37
T: 6451 | X: 102 | Y: -3 | Z 36
T: 6451 | X: 102 | Y: -3 | Z 36
T: 6451 | X: 102 | Y: -3 | Z 35
T: 6452 | X: 102 | Y: -3 | Z 35
T: 6452 | X: 102 | Y: -3 | Z 35
T: 6452 | X: 103 | Y: -3 | Z 34
T: 6452 | X: 103 | Y: -3 | Z 34
T: 6452 | X: 103 | Y: -3 | Z 33
T: 6453 | X: 103 | Y: -3 | Z 33
